step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,18.503131866455078,0.6591103076934814,0.0,0.5625,1.0,0.5625,4.5,0.0,0.05268693342804909,4.5,0.20000000298023224,60.0,0.0,4.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,8.830511093139648,0.6587289571762085,0.0,3.0705339908599854,1.0,3.0705339908599854,4.5,0.0,0.053197167813777924,4.5,0.20000000298023224,327.52362060546875,0.0,0.0,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,8.82386589050293,0.6699905395507812,0.0,2.9863333702087402,1.0,2.9863333702087402,4.5,0.0,0.052592553198337555,4.5,0.20000000298023224,318.542236328125,0.0,0.0,0.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,17.49212074279785,0.6834017634391785,1.0,2.906629800796509,1.0,2.906629800796509,4.5,0.0,0.05270303413271904,4.5,0.20000000298023224,310.04052734375,0.0,0.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,9.128863334655762,0.6705376505851746,1.0,2.934174060821533,1.0,2.934174060821533,4.5,0.0,0.05396832525730133,4.5,0.20000000298023224,312.97857666015625,0.0,0.0,0.0
5,29.94325065612793,-95.31836700439453,501.0150146484375,22.563373565673828,0.6794192790985107,2.0,2.8654162883758545,1.0,2.8654162883758545,4.5,0.0,0.055377084761857986,4.5,0.20000000298023224,305.6444091796875,0.0,0.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,9.031777381896973,0.6718699336051941,2.0,2.7719006538391113,1.0,2.7719006538391113,4.5,0.0,0.05175439640879631,4.5,0.20000000298023224,295.6694030761719,0.0,0.0,0.07217676192522049
7,29.937694549560547,-95.31027221679688,553.8787231445312,8.902657508850098,0.6630402207374573,2.0,2.812102794647217,1.0,2.812102794647217,4.5,0.0,0.05224119499325752,4.5,0.20000000298023224,299.9576416015625,0.0,0.0,0.0
8,29.934850692749023,-95.30590057373047,575.3099975585938,20.67586326599121,0.7182968854904175,3.0,2.7982611656188965,1.0,2.7982611656188965,4.5,0.0,0.052450694143772125,4.5,0.20000000298023224,298.481201171875,0.0,0.025313377380371094,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,9.49386215209961,0.7224628925323486,3.0,2.6986773014068604,1.0,2.6986773014068604,4.5,0.0,0.056311506778001785,4.5,0.20000000298023224,287.85888671875,0.0,0.0,0.0
10,29.928987503051758,-95.29693603515625,620.0775146484375,9.517546653747559,0.7294533252716064,3.0,2.741957902908325,1.0,2.741957902908325,4.5,0.0,0.052512142807245255,4.5,0.20000000298023224,292.4754943847656,0.0,0.0,0.12540817260742188
11,29.92570686340332,-95.29203033447266,646.271240234375,9.582345962524414,0.7154185175895691,3.0,2.845323324203491,1.0,2.845323324203491,4.5,0.0,0.05812975764274597,4.5,0.20000000298023224,303.50115966796875,0.0,0.0,0.0
12,29.92242431640625,-95.28712463378906,672.4650268554688,9.310503959655762,0.7119540572166443,3.0,2.74784779548645,1.0,2.74784779548645,4.5,0.0,0.05268770456314087,4.5,0.20000000298023224,293.103759765625,0.0,0.0,0.11493728309869766
13,29.919055938720703,-95.28216552734375,704.8499755859375,9.203421592712402,0.7107956409454346,3.0,2.7104668617248535,1.0,2.7104668617248535,4.5,0.0,0.05295638367533684,4.5,0.20000000298023224,289.116455078125,0.0,0.0,0.0
14,29.915340423583984,-95.2770004272461,762.0,9.204740524291992,0.7254211902618408,4.0,2.8447391986846924,1.0,2.8447391986846924,4.5,0.0,0.058486733585596085,4.5,0.20000000298023224,303.4388427734375,0.0,0.0,0.0
15,29.911623001098633,-95.27183532714844,819.1500244140625,9.289478302001953,0.7186349034309387,4.0,2.80237078666687,1.0,2.80237078666687,4.5,0.0,0.05868393927812576,4.5,0.20000000298023224,298.9195556640625,0.0,0.0,0.018007362261414528
16,29.907907485961914,-95.26667022705078,876.2999877929688,9.116277694702148,0.7159067988395691,4.0,2.7612478733062744,1.0,2.7612478733062744,4.5,0.0,0.05780540406703949,4.5,0.20000000298023224,294.5331115722656,0.0,0.0,0.09111501276493073
17,29.904190063476562,-95.2614974975586,933.4500122070312,9.004704475402832,0.7203171849250793,4.0,2.721315860748291,1.0,2.721315860748291,4.5,0.0,0.05275747552514076,4.5,0.20000000298023224,290.2737121582031,0.0,0.0,0.1621050238609314
18,29.90047264099121,-95.25633239746094,990.5999755859375,9.000783920288086,0.7148715257644653,4.0,2.6825242042541504,1.0,2.6825242042541504,4.5,0.0,0.05585632100701332,4.5,0.20000000298023224,286.13592529296875,0.0,0.0,0.23106810450553894
19,29.896745681762695,-95.25103759765625,1042.579345703125,8.843220710754395,0.7143580317497253,4.0,2.4543707370758057,1.0,2.4543707370758057,4.099999904632568,0.0,0.0572114996612072,4.099999904632568,0.10000000149011612,287.3409423828125,0.0,0.0,0.21098415553569794
20,29.89297866821289,-95.2452163696289,1073.875732421875,8.758438110351562,0.7025513648986816,4.0,2.606534004211426,1.0,2.606534004211426,4.099999904632568,0.0,0.0578349344432354,4.099999904632568,0.10000000149011612,305.15521240234375,0.0,0.0,0.0
21,29.889211654663086,-95.23939514160156,1105.172119140625,8.497949600219727,0.7152230739593506,4.0,2.5990641117095947,1.0,2.5990641117095947,4.099999904632568,0.0,0.0604330338537693,4.099999904632568,0.10000000149011612,304.2806701660156,0.0,0.0,0.0
22,29.88544273376465,-95.23357391357422,1136.4686279296875,8.599934577941895,0.7207780480384827,4.0,2.591637134552002,1.0,2.591637134552002,4.099999904632568,0.0,0.052027150988578796,4.099999904632568,0.10000000149011612,303.4111633300781,0.0,0.0,0.0
23,29.881675720214844,-95.22775268554688,1167.7650146484375,17.592315673828125,0.7245573401451111,5.0,2.5842528343200684,1.0,2.5842528343200684,4.099999904632568,0.0,0.05476348102092743,4.099999904632568,0.10000000149011612,302.5466613769531,0.0,0.0,0.0
24,29.877906799316406,-95.22193145751953,1199.0614013671875,9.21601390838623,0.7278480529785156,5.0,2.5769107341766357,1.0,2.5769107341766357,4.099999904632568,0.0,0.056829702109098434,4.099999904632568,0.10000000149011612,301.6871337890625,0.0,0.0,0.0
25,29.874122619628906,-95.21601867675781,1212.9246826171875,21.72637176513672,0.7304909825325012,6.0,2.6048638820648193,1.0,2.6048638820648193,4.099999904632568,0.0,0.06348355859518051,4.099999904632568,0.10000000149011612,304.95965576171875,0.0,0.0,0.0
26,29.870328903198242,-95.21004486083984,1215.1658935546875,9.429288864135742,0.7208244204521179,6.0,2.627035140991211,1.0,2.627035140991211,4.099999904632568,0.0,0.055848464369773865,4.099999904632568,0.10000000149011612,307.5553283691406,0.0,0.0,0.0
27,29.866535186767578,-95.2040786743164,1217.4071044921875,9.330004692077637,0.7359368801116943,6.0,2.629582166671753,1.0,2.629582166671753,4.099999904632568,0.0,0.057367585599422455,4.099999904632568,0.10000000149011612,307.853515625,0.0,0.0,0.0
28,29.862592697143555,-95.1982192993164,1230.7711181640625,22.579097747802734,0.8263301253318787,7.0,2.634321928024292,1.0,2.634321928024292,4.099999904632568,0.0,0.05539248138666153,4.099999904632568,0.10000000149011612,308.4084167480469,0.0,0.0,0.0
29,29.858055114746094,-95.19283294677734,1288.626708984375,11.485905647277832,0.8398507237434387,7.0,2.664731025695801,1.0,2.664731025695801,4.099999904632568,0.0,0.05477750673890114,4.099999904632568,0.10000000149011612,311.968505859375,0.0,0.0,0.0
30,29.853519439697266,-95.18744659423828,1346.482177734375,22.65644645690918,0.753662645816803,8.0,2.6616272926330566,1.0,2.6616272926330566,4.099999904632568,0.0,0.054600976407527924,4.099999904632568,0.10000000149011612,311.6051330566406,0.0,0.0,0.0
31,29.848981857299805,-95.18205261230469,1404.3377685546875,16.225040435791016,0.761802077293396,8.0,2.6585309505462646,1.0,2.6585309505462646,4.099999904632568,0.0,0.053034670650959015,4.099999904632568,0.10000000149011612,311.2426452636719,0.0,0.0,0.0
32,29.844444274902344,-95.17666625976562,1462.193359375,10.219809532165527,0.7820212841033936,8.0,2.6554417610168457,1.0,2.6554417610168457,4.099999904632568,0.0,0.055201251059770584,4.099999904632568,0.10000000149011612,310.8809814453125,0.0,0.0,0.0
33,29.839906692504883,-95.17127990722656,1520.048828125,22.913766860961914,0.8026867508888245,9.0,2.652359962463379,1.0,2.652359962463379,4.099999904632568,0.0,0.053771525621414185,4.099999904632568,0.10000000149011612,310.52020263671875,0.0,0.0,0.0
34,29.835636138916016,-95.16615295410156,1587.201171875,11.08163833618164,0.8173997402191162,9.0,2.5061004161834717,1.0,2.5061004161834717,4.099999904632568,0.0,0.05590147152543068,4.099999904632568,0.10000000149011612,293.3971252441406,0.0,0.0,0.11004813760519028
35,29.83142852783203,-95.16109466552734,1656.6776123046875,11.431456565856934,0.8168966174125671,9.0,2.466109275817871,1.0,2.466109275817871,4.099999904632568,0.0,0.052595168352127075,4.099999904632568,0.10000000149011612,288.7152099609375,0.0,0.0,0.0
36,29.82722282409668,-95.15603637695312,1726.1541748046875,17.89495849609375,0.6583336591720581,10.0,2.461552143096924,1.0,2.461552143096924,4.099999904632568,0.0,0.054478876292705536,4.099999904632568,0.10000000149011612,288.18170166015625,0.0,0.19697165489196777,0.0
37,29.823307037353516,-95.15071105957031,1797.73388671875,8.722213745117188,0.6609579920768738,10.0,2.447528839111328,1.0,2.447528839111328,4.099999904632568,0.0,0.05203761160373688,4.099999904632568,0.10000000149011612,286.53997802734375,0.0,0.0,0.0
38,29.819826126098633,-95.14497375488281,1872.468505859375,8.754547119140625,0.6459088921546936,10.0,2.4443323612213135,1.0,2.4443323612213135,4.099999904632568,0.0,0.05189894884824753,4.099999904632568,0.10000000149011612,286.1657409667969,0.0,0.0,0.23057113587856293
39,29.81634521484375,-95.13924407958984,1947.203125,8.560062408447266,0.6483908891677856,10.0,2.4355130195617676,1.0,2.4355130195617676,4.099999904632568,0.0,0.05303912237286568,4.099999904632568,0.10000000149011612,285.13323974609375,0.0,0.0,0.0
40,29.8128662109375,-95.13351440429688,2021.937744140625,8.580093383789062,0.6437902450561523,10.0,2.4267578125,1.0,2.4267578125,4.099999904632568,0.0,0.05390942469239235,4.099999904632568,0.10000000149011612,284.10821533203125,0.0,0.0,0.26486292481422424
41,29.809385299682617,-95.1277847290039,2096.67236328125,8.508553504943848,0.6513977646827698,10.0,2.4180655479431152,1.0,2.4180655479431152,4.099999904632568,0.0,0.05603555962443352,4.099999904632568,0.10000000149011612,283.0906066894531,0.0,0.0,0.0
42,29.805763244628906,-95.12190246582031,2170.571044921875,10.675183296203613,0.7898147106170654,11.0,2.4827704429626465,1.0,2.4827704429626465,4.099999904632568,0.0,0.056597933173179626,4.099999904632568,0.10000000149011612,290.6658020019531,0.0,0.15557008981704712,0.0
43,29.801578521728516,-95.11542510986328,2241.126708984375,10.755329132080078,0.7838575839996338,11.0,2.7653322219848633,1.0,2.7653322219848633,4.099999904632568,8.665155520740965e-16,0.05239279568195343,4.099999904632568,0.10000000149011612,323.7462158203125,0.0,0.0,0.0
44,29.797391891479492,-95.10894012451172,2311.68212890625,10.600833892822266,0.7847834229469299,11.0,2.749652147293091,1.0,2.749652147293091,4.099999904632568,0.0,0.05297702178359032,4.099999904632568,0.10000000149011612,321.9104919433594,0.0,0.0,0.0
